,reaction,sample_id,flux
447,EX_cgly_m,Cancer8,0.09999995837053036
448,EX_cytd_m,Cancer6,0.008323893833699351
449,EX_dcyt_m,Cancer6,0.008245197233896384
450,EX_csn_m,Cancer6,0.001367237231796447
451,EX_arg_L_m,Cancer6,0.015000005243532039
452,EX_his_L_m,Cancer6,0.014999366499880672
453,EX_asn_L_m,Cancer6,0.0016000478145309985
454,EX_gln_L_m,Cancer6,0.010606977436944595
455,EX_lys_L_m,Cancer6,0.006281587437460701
456,EX_trp_L_m,Cancer6,0.0013381684289712314
457,EX_thm_m,Cancer6,0.00021218688738356816
458,EX_pheme_m,Cancer6,0.00031980216221821965
459,EX_sheme_m,Cancer6,0.00030537398552367233
460,EX_fe2_m,Cancer6,0.00044588881061968295
461,EX_fe3_m,Cancer6,0.0007321800031687309
462,EX_cu2_m,Cancer6,0.0005873352392997477
463,EX_cl_m,Cancer6,0.0005873418486525459
464,EX_mg2_m,Cancer6,0.0005873311016265901
465,EX_k_m,Cancer6,0.0005873355125542928
466,EX_mn2_m,Cancer6,0.0005873360453911528
467,EX_cobalt2_m,Cancer6,0.0005877797053304525
468,EX_ca2_m,Cancer6,0.0005873392866752903
469,EX_zn2_m,Cancer6,0.0005873398778259662
470,EX_metsox_S_L_m,Cancer6,1e-06
471,EX_pydam_m,Cancer6,0.0001539846886674972
472,EX_dextran40_m,Cancer6,1e-06
473,EX_arabinoxyl_m,Cancer6,1e-06
474,EX_rhamnogalurII_m,Cancer6,1e-06
475,EX_pnto_R_m,Cancer6,6.676892165415462e-06
476,EX_q8_m,Cancer6,1e-06
477,EX_arabinan101_m,Cancer6,1e-06
478,EX_homogal_m,Cancer6,1e-06
479,EX_lichn_m,Cancer6,1e-06
480,EX_amylose300_m,Cancer6,1e-06
481,EX_glcmannan_m,Cancer6,1e-06
482,EX_xylan_m,Cancer6,1e-06
483,EX_pect_m,Cancer6,1e-06
484,EX_pydx_m,Cancer6,1e-06
485,EX_gthrd_m,Cancer6,1e-06
486,EX_pi_m,Cancer6,1e-06
487,EX_galmannan_m,Cancer6,1e-06
488,EX_xyluglc_m,Cancer6,1e-06
489,EX_levan1000_m,Cancer6,1e-06
490,EX_arabinogal_m,Cancer6,1e-06
491,EX_pullulan1200_m,Cancer6,1e-06
492,EX_starch1200_m,Cancer6,1e-06
493,EX_amylopect900_m,Cancer6,1e-06
494,EX_rhamnogalurI_m,Cancer6,1e-06
495,EX_gthox_m,Cancer6,1e-06
496,EX_spmd_m,Cancer6,0.00012090352397740062
497,EX_fol_m,Cancer6,0.0009558377555490387
498,EX_ptrc_m,Cancer6,1.2235378516144271e-05
499,EX_orn_m,Cancer6,0.029988299727264703
500,EX_26dap_M_m,Cancer6,0.08920478520259062
501,EX_nmn_m,Cancer6,0.02964043126208908
502,EX_amp_m,Cancer6,0.08579388161345426
503,EX_cgly_m,Cancer6,0.09748873448810427
504,EX_cytd_m,Healthy8,0.0070385506742418336
505,EX_dcyt_m,Healthy8,0.009101666526546981
506,EX_csn_m,Healthy8,0.001358710673844729
507,EX_arg_L_m,Healthy8,0.014999998759019417
508,EX_his_L_m,Healthy8,0.014999999154883738
509,EX_asn_L_m,Healthy8,0.005300815301713661
510,EX_gln_L_m,Healthy8,0.004672034893943078
511,EX_lys_L_m,Healthy8,0.008800880082641543
512,EX_trp_L_m,Healthy8,7.852431428490014e-05
513,EX_thm_m,Healthy8,0.0002759697563265472
514,EX_pheme_m,Healthy8,0.0003181724015794587
515,EX_sheme_m,Healthy8,0.00030592806124702217
516,EX_fe2_m,Healthy8,0.0003965704335616637
517,EX_fe3_m,Healthy8,0.0007236626508183859
518,EX_cu2_m,Healthy8,0.0005601122931756577
519,EX_cl_m,Healthy8,0.0005601123011375743
520,EX_mg2_m,Healthy8,0.0005601125987087226
521,EX_k_m,Healthy8,0.0005601108479946994
522,EX_mn2_m,Healthy8,0.0005601123212000313
523,EX_cobalt2_m,Healthy8,0.0005601123160758201
524,EX_ca2_m,Healthy8,0.0005601123034923981
525,EX_zn2_m,Healthy8,0.0005601124543031284
526,EX_metsox_S_L_m,Healthy8,1e-06
527,EX_pydam_m,Healthy8,0.0002384957008480749
528,EX_dextran40_m,Healthy8,1e-06
529,EX_arabinoxyl_m,Healthy8,1e-06
530,EX_rhamnogalurII_m,Healthy8,1e-06
531,EX_pnto_R_m,Healthy8,1e-06
532,EX_q8_m,Healthy8,1e-06
533,EX_arabinan101_m,Healthy8,1e-06
534,EX_homogal_m,Healthy8,1e-06
535,EX_lichn_m,Healthy8,1e-06
536,EX_amylose300_m,Healthy8,1e-06
537,EX_glcmannan_m,Healthy8,1e-06
538,EX_xylan_m,Healthy8,1e-06
539,EX_pect_m,Healthy8,1e-06
540,EX_pydx_m,Healthy8,1e-06
541,EX_gthrd_m,Healthy8,1e-06
542,EX_pi_m,Healthy8,1e-06
543,EX_galmannan_m,Healthy8,1e-06
544,EX_xyluglc_m,Healthy8,1e-06
545,EX_levan1000_m,Healthy8,1e-06
546,EX_arabinogal_m,Healthy8,1e-06
547,EX_pullulan1200_m,Healthy8,1e-06
548,EX_starch1200_m,Healthy8,1e-06
549,EX_amylopect900_m,Healthy8,1e-06
550,EX_rhamnogalurI_m,Healthy8,1e-06
551,EX_gthox_m,Healthy8,1e-06
552,EX_spmd_m,Healthy8,0.0001224072764056637
553,EX_fol_m,Healthy8,0.0009569858206925953
554,EX_ptrc_m,Healthy8,1.2338485502489031e-05
555,EX_orn_m,Healthy8,0.02216586719006694
556,EX_26dap_M_m,Healthy8,0.09186284199258495
