,reaction,metabolite,sample_id,flux
4936,EX_MGlcn64_rl(e),MGlcn64_rl(e),Cancer3,2.1146101283016322e-11
4937,EX_MGlcn64_rl(e),MGlcn64_rl(e),Cancer4,2.482135865102026e-12
4938,EX_MGlcn64_rl(e),MGlcn64_rl(e),Cancer5,2.2518192918291303e-11
4939,EX_MGlcn64_rl(e),MGlcn64_rl(e),Cancer6,3.8042577194918256e-07
4940,EX_MGlcn64_rl(e),MGlcn64_rl(e),Cancer7,2.4713934426883922e-12
4941,EX_MGlcn64_rl(e),MGlcn64_rl(e),Cancer8,3.728894396729284e-11
4942,EX_MGlcn64_rl(e),MGlcn64_rl(e),Healthy1,5.052808068139564e-10
4943,EX_MGlcn64_rl(e),MGlcn64_rl(e),Healthy3,5.529936720114023e-09
4944,EX_MGlcn64_rl(e),MGlcn64_rl(e),Healthy5,2.094008027395917e-12
4945,EX_MGlcn64_rl(e),MGlcn64_rl(e),Healthy6,9.165284336017128e-12
4946,EX_MGlcn64_rl(e),MGlcn64_rl(e),Healthy7,4.2404184148778526e-13
4947,EX_MGlcn64_rl(e),MGlcn64_rl(e),Healthy8,2.0548400453001247e-09
4948,EX_MGlcn65(e),MGlcn65(e),Cancer1,8.496053939920468e-10
4949,EX_MGlcn65(e),MGlcn65(e),Cancer2,1.2057720740472449e-12
4950,EX_MGlcn65(e),MGlcn65(e),Cancer3,5.653020410908183e-12
4951,EX_MGlcn65(e),MGlcn65(e),Cancer4,3.8249689677856734e-12
4952,EX_MGlcn65(e),MGlcn65(e),Cancer5,6.562901917056556e-12
4953,EX_MGlcn65(e),MGlcn65(e),Cancer6,4.845167759869759e-07
4954,EX_MGlcn65(e),MGlcn65(e),Cancer7,3.870973990266603e-13
4955,EX_MGlcn65(e),MGlcn65(e),Cancer8,7.018729112245685e-12
4956,EX_MGlcn65(e),MGlcn65(e),Healthy1,5.417463910807116e-10
4957,EX_MGlcn65(e),MGlcn65(e),Healthy2,3.816693527477716e-14
4958,EX_MGlcn65(e),MGlcn65(e),Healthy3,1.3273290264077108e-08
4959,EX_MGlcn65(e),MGlcn65(e),Healthy4,1.2768377759014651e-15
4960,EX_MGlcn65(e),MGlcn65(e),Healthy5,9.685249128111316e-13
4961,EX_MGlcn65(e),MGlcn65(e),Healthy6,6.4422688641635134e-12
4962,EX_MGlcn65(e),MGlcn65(e),Healthy7,2.936734515259354e-13
4963,EX_MGlcn65(e),MGlcn65(e),Healthy8,1.7363600312418546e-09
4964,EX_MGlcn65_rl(e),MGlcn65_rl(e),Cancer1,1.07342178626887e-09
4965,EX_MGlcn65_rl(e),MGlcn65_rl(e),Cancer2,8.093282305040497e-13
4966,EX_MGlcn65_rl(e),MGlcn65_rl(e),Cancer3,4.908459436976056e-12
4967,EX_MGlcn65_rl(e),MGlcn65_rl(e),Cancer4,4.602151404757427e-12
4968,EX_MGlcn65_rl(e),MGlcn65_rl(e),Cancer5,7.185593251577368e-12
4969,EX_MGlcn65_rl(e),MGlcn65_rl(e),Cancer6,4.59200281696215e-07
4970,EX_MGlcn65_rl(e),MGlcn65_rl(e),Cancer7,4.106076788630935e-12
4971,EX_MGlcn65_rl(e),MGlcn65_rl(e),Cancer8,2.1822862226977814e-11
4972,EX_MGlcn65_rl(e),MGlcn65_rl(e),Healthy1,2.654188242795249e-10
4973,EX_MGlcn65_rl(e),MGlcn65_rl(e),Healthy2,1.7107685997486935e-14
4974,EX_MGlcn65_rl(e),MGlcn65_rl(e),Healthy3,1.0385576914050477e-08
4975,EX_MGlcn65_rl(e),MGlcn65_rl(e),Healthy5,2.04045085778645e-12
4976,EX_MGlcn65_rl(e),MGlcn65_rl(e),Healthy6,3.0414641388792955e-11
4977,EX_MGlcn65_rl(e),MGlcn65_rl(e),Healthy7,3.7522695154829244e-13
4978,EX_MGlcn65_rl(e),MGlcn65_rl(e),Healthy8,1.4334748737052968e-09
4979,EX_MGlcn66(e),MGlcn66(e),Cancer1,1.3688279037950747e-09
4980,EX_MGlcn66(e),MGlcn66(e),Cancer2,6.830004125965445e-13
4981,EX_MGlcn66(e),MGlcn66(e),Cancer3,1.2861875009588601e-11
4982,EX_MGlcn66(e),MGlcn66(e),Cancer4,8.163013097422701e-12
4983,EX_MGlcn66(e),MGlcn66(e),Cancer5,2.9421590585457474e-11
4984,EX_MGlcn66(e),MGlcn66(e),Cancer6,5.408449565512509e-07
4985,EX_MGlcn66(e),MGlcn66(e),Cancer7,5.111912069095168e-12
4986,EX_MGlcn66(e),MGlcn66(e),Cancer8,1.2214157881500133e-10
4987,EX_MGlcn66(e),MGlcn66(e),Healthy1,5.206786125024077e-09
4988,EX_MGlcn66(e),MGlcn66(e),Healthy2,6.230819381722225e-13
4989,EX_MGlcn66(e),MGlcn66(e),Healthy3,1.586506619433311e-08
4990,EX_MGlcn66(e),MGlcn66(e),Healthy4,3.5467207820394095e-13
4991,EX_MGlcn66(e),MGlcn66(e),Healthy5,3.4200820580998734e-12
4992,EX_MGlcn66(e),MGlcn66(e),Healthy6,5.8057245556214206e-11
4993,EX_MGlcn66(e),MGlcn66(e),Healthy7,6.532507858133441e-13
4994,EX_MGlcn66(e),MGlcn66(e),Healthy8,1.909922103186061e-09
4995,EX_MGlcn66_rl(e),MGlcn66_rl(e),Cancer1,6.613672371697659e-10
4996,EX_MGlcn66_rl(e),MGlcn66_rl(e),Cancer2,6.257817030934886e-13
